en_name,th_name,ingredients,course,province,region
Kao Phat American,ข้าวผัดอเมริกัน,American-style fried rice+soy sauce+garlic,main dish,Bangkok,Central
Kao Man Kaeng Kai,ข้าวมันแกงไก่,Chicken curry with rice+garlic+soy sauce,main dish,Various,Various
Kao Man Kai,ข้าวมันไก่,Chicken with rice+garlic+soy sauce,main dish,Bangkok,Central
Kao Man Somtam,ข้าวมันส้มตำ,Rice with papaya salad+garlic+chili,main dish,Various,Various
Kao Maew,ข้าวแมว,Unknown,main dish,Unknown,Unknown
Kao Yam,ข้าวยำ,Rice salad+vegetables+herbs,main dish,Southern provinces,South
Kao Rad Na Kai,ข้าวราดหน้าไก่,Rice topped with chicken+garlic+soy sauce,main dish,Bangkok,Central
Kao Raem Fuen,ข้าวแรมฟืน,Unknown,main dish,Unknown,Unknown
Kao Sia Po,ข้าวเสียโป,Unknown,main dish,Unknown,Unknown
Kao Na Ped,ข้าวหน้าเป็ด,Rice with duck+garlic+soy sauce,main dish,Bangkok,Central
Kao Mok,ข้าวหมก,Biryani rice+chicken+spices,main dish,Southern provinces,South
Kai Paam,ไข่ป่าม,Egg grilled in banana leaf+garlic+herbs,main dish,Northern provinces,North
Jok,โจ๊ก,Rice porridge+pork+garlic+fish sauce,main dish,Bangkok,Central
Soi Ju,ซอยจุ๊,Raw beef salad+herbs+garlic,main dish,Northeast provinces,Northeast
Sup,ซุบ,Unknown,main dish,Unknown,Unknown
Tam Tang,ตำแตง,Cucumber salad+chili+garlic,main dish,Various,Various
Nam Tok,น้ำตก,Grilled meat salad+chili+garlic,main dish,Various,Various
Phat Khi Mao,ผัดขี้เมา,Drunken noodles+chili+garlic,main dish,Bangkok,Central
Phat See Ew,ผัดซีอิ๊ว,Stir-fried noodles+soy sauce+garlic,main dish,Bangkok,Central
Phat Thai,ผัดไทย,Thai stir-fried noodles+fish sauce+garlic,main dish,Bangkok,Central
Phra Ram Long Song,พระรามลงสรง,Unknown,main dish,Unknown,Unknown
Yam Tawai,ยำทวาย,Unknown,main dish,Unknown,Unknown
Yam Pla Duk Fu,ยำปลาดุกฟู,Crispy catfish salad+fish sauce+garlic,main dish,Various,Various
Yam Sam Krob,ยำสามกรอบ,Three crispy salad+fish sauce+garlic,main dish,Various,Various
Yam Yai,ยำใหญ่,Mixed salad+fish sauce+garlic,main dish,Various,Various
Yen Ta Fo,เย็นตาโฟ,Pink noodle soup+fish sauce+garlic,main dish,Bangkok,Central
Ro Yor,รอเยาะ,Unknown,main dish,Unknown,Unknown
Rad Na,ราดหน้า,Stir-fried noodles with gravy+soy sauce+garlic,main dish,Bangkok,Central
La Sao,ละซอ,Unknown,main dish,Unknown,Unknown
Lab,ลาบ,Minced meat salad+fish sauce+garlic,main dish,Northeast provinces,Northeast
Som Tam,ส้มตำ,Papaya salad+fish sauce+garlic,main dish,Various,Various
Sa Uh,สะเออะ,Unknown,main dish,Unknown,Unknown
Suea Rong Hai,เสือร้องไห้,Grilled beef salad+fish sauce+garlic,main dish,Northeast provinces,Northeast
Sai Krok Isan,ไส้กรอกอีสาน,Isan sausage+garlic+chili,main dish,Northeast provinces,Northeast
Sai Ua,ไส้อั่ว,Northern sausage+garlic+chili,main dish,Northern provinces,North
Mam,หม่ำ,Unknown,main dish,Unknown,Unknown
Mee Krob,หมี่กรอบ,Crispy noodles+fish sauce+garlic,main dish,Bangkok,Central
Mee Kati,หมี่กะทิ,Coconut milk noodles+fish sauce+garlic,main dish,Central provinces,Central
Moo Manao,หมูมะนาว,Pork with lime+garlic+chili,main dish,Various,Various
Hoi Tod,หอยทอด,Oyster omelette+fish sauce+garlic,main dish,Coastal provinces,South
Ang Kab Bob,อังแกบบอบ,Unknown,main dish,Unknown,Unknown
Karaang,กะราง,Unknown,main dish,Unknown,Unknown
Kaeng Kradang,แกงกระด้าง,Pork+gelatin+herbs,main dish,Northern provinces,North
Kaeng Kari,แกงกะหรี่,Curry powder+coconut milk+meat,main dish,Various,Various
Kaeng Khanun,แกงขนุน,Jackfruit+pork+herbs,main dish,Northern provinces,North
Kaeng Khee Lek,แกงขี้เหล็ก,Senna siamea leaves+pork+herbs,main dish,Various,Various
Kaeng Khiao Wan,แกงเขียวหวาน,Green curry paste+coconut milk+meat,main dish,Various,Various
Kaeng Kua,แกงคั่ว,Curry paste+coconut milk+meat,main dish,Various,Various
Kaeng Khae,แกงแค,Herbs+meat+vegetables,main dish,Northern provinces,North
Kaeng Chin Chuan,แกงจีนจ๊วน,Herbs+pork+fermented fish,main dish,Various,Various
Kaeng Chuet,แกงจืด,Clear soup+meat+vegetables,main dish,Various,Various
Kaeng Chuek Som,แกงชักส้ม,Tamarind paste+fish+herbs,main dish,Various,Various
Kaeng To Mae Ha,แกงตอแมะฮ,Unknown,main dish,Unknown,Unknown
Kaeng Tumi,แกงตูมี้,Unknown,main dish,Unknown,Unknown
Kaeng Thepho,แกงเทโพ,Pork belly+curry paste+vegetables,main dish,Central provinces,Central
Kaeng Noppakao,แกงนพเก้า,Unknown,main dish,Unknown,Unknown
Kaeng Nok Mo,แกงนอกหม้อ,Unknown,main dish,Unknown,Unknown
Kaeng Nang Loy,แกงนางลอย,Unknown,main dish,Unknown,Unknown
Kaeng Buan,แกงบวน,Herbs+pork blood+vegetables,main dish,Central provinces,Central
Kaeng Bon,แกงบอน,Taro stems+curry paste+meat,main dish,Various,Various
Kaeng Bum Bai,แกงบุ่มไบ่,Curry paste+coconut milk+chicken,main dish,Various,Various
Kaeng Patcharee,แกงปัจรี,Unknown,main dish,Unknown,Unknown
Kaeng Paa,แกงป่า,Herbs+meat+vegetables,main dish,Various,Various
Kaeng Poe,แกงเปอะ,Fermented fish+curry paste+vegetables,main dish,Northeast provinces,Northeast
Kaeng Phet,แกงเผ็ด,Red curry paste+coconut milk+meat,main dish,Various,Various
Kaeng Matsaman,แกงมัสมั่น,Massaman curry paste+coconut milk+meat,main dish,Southern provinces,South
Kaeng Ron,แกงร้อน,Unknown,main dish,Unknown,Unknown
Kaeng Rawaeng,แกงระแวง,Curry paste+coconut milk+meat,main dish,Central provinces,Central
Kaeng Runjuan,แกงรัญจวน,Herbs+pork+shrimp paste,main dish,Central provinces,Central
Kaeng Liang,แกงเลียง,Herbs+shrimp+vegetables,main dish,Various,Various
Kaeng Somrom,แกงสมรม,Unknown,main dish,Unknown,Unknown
Kaeng Som,แกงส้ม,Sour curry paste+fish+vegetables,main dish,Various,Various
Kaeng Salae,แกงสะแล,Herbs+meat+vegetables,main dish,Various,Various
Kaeng Sap Nok,แกงสับนก,Unknown,main dish,Unknown,Unknown
Kaeng Singhon,แกงสิงหล,Unknown,main dish,Unknown,Unknown
Kaeng Hong,แกงหอง,Unknown,main dish,Unknown,Unknown
Kaeng Ngao Ngod,แกงเหงาหงอด,Unknown,main dish,Unknown,Unknown
Kaeng Lueang,แกงเหลือง,Yellow curry paste+fish+vegetables,main dish,Southern provinces,South
Kaeng Hang Le,แกงฮังเล,Hang Lay curry paste+pork+ginger,main dish,Northern provinces,North
Kaeng Ho,แกงโฮะ,Unknown,main dish,Unknown,Unknown
Kai Hor Bai Toey,ไก่ห่อใบเตย,Chicken+pandan leaves+soy sauce,main dish,Various,Various
Kha Kai Super,ขาไก่ซุปเปอร์,Chicken feet+herbs+spices,main dish,Bangkok,Central
Kai Jeow,ไข่เจียว,Eggs+oil+fish sauce,main dish,Various,Various
Kai Dao,ไข่ดาว,Eggs+oil,main dish,Various,Various
Kai Nam,ไข่น้ำ,Eggs+broth+vegetables,main dish,Various,Various
Kai Yat Sai,ไข่ยัดไส้,Eggs+vegetables+meat,main dish,Various,Various
Kai Raberd,ไข่ระเบิด,Unknown,main dish,Unknown,Unknown
Kai Look Kheuy,ไข่ลูกเขย,Hard-boiled eggs+tamarind sauce,main dish,Various,Various
Kua Kling,คั่วกลิ้ง,Ground pork+curry paste,main dish,Southern provinces,South
Ngob,งบ,Unknown,main dish,Unknown,Unknown
Cho Phak Kat,จอผักกาด,Pickled mustard greens+pork+herbs,main dish,Northern provinces,North
Cho Hraeng,จอแหร้ง,Unknown,main dish,Unknown,Unknown
Jub Chai,จับฉ่าย,Mixed vegetables+meat+soy sauce,main dish,Various,Various
Chu Chi,ฉู่ฉี่,Herbs+curry paste+fish,main dish,Various,Various
Sup Khreung Nai,ซุปเครื่องใน,Offal+herbs+spices,main dish,Various,Various
Sup Singapore,ซุปสิงคโปร์,Herbs+meat+spices,main dish,Various,Various
San Mo,แซนโม,Unknown,main dish,Unknown,Unknown
Tom Kati,ต้มกะทิ,Coconut milk+meat+herbs,main dish,Various,Various
Tom Kha Kai,ต้มข่าไก่,Coconut milk+chicken+galangal,main dish,Various,Various
Tom Khreung Nai Moo,ต้มเครื่องในหมู,Pork offal+herbs,main dish,Various,Various
Tom Kloang,ต้มโคล้ง,Herbs+fish+spices,main dish,Various,Various
Tom Jiw,ต้มจิ๋ว,Herbs+meat+spices,main dish,Various,Various
Tom Saep,ต้มแซ่บ,Herbs+meat+spices,main dish,Northeast provinces,Northeast
Tom Pret,ต้มเปรต,Unknown,main dish,Unknown,Unknown
Tom Yam,ต้มยำ,Herbs+shrimp+spices,main dish,Various,Various
Tom Som,ต้มส้ม,Sour broth+fish+herbs,main dish,Various,Various
Tupa Sutong,ตูปะซูตง,Unknown,main dish,Unknown,Unknown
Tai Pla,ไตปลา,Fermented fish entrails+curry paste+vegetables,main dish,Southern provinces,South
Tod Mun,ทอดมัน,Fish paste+herbs+spices,main dish,Various,Various
Nam Ngiao,น้ำเงี้ยว,Rice noodles+blood tofu+herbs,main dish,Northern provinces,North
Nua Nang Phao,เนื้อนางเพา,Unknown,main dish,Unknown,Unknown
Bo Toa,บอเตาะ,Unknown,main dish,Unknown,Unknown
Pla Kok,ปลาคก,Unknown,main dish,Unknown,Unknown
Poo Ja,ปูจ๋า,Crab meat+herbs+spices,main dish,Various,Various
Phat Kaphrao,ผัดกะเพรา,Holy basil+meat+garlic,main dish,Various,Various
Phat Khing,ผัดขิง,Ginger+meat+garlic,main dish,Various,Various
Phat Cha,ผัดฉ่า,Herbs+meat+spices,main dish,Various,Various
Phat Priao Wan,ผัดเปรี้ยวหวาน,Sweet and sour sauce+meat+vegetables,main dish,Various,Various
Phat Phong Kari,ผัดผงกะหรี่,Curry powder+meat+vegetables,main dish,Various,Various
Phat Phak Bung,ผัดผักบุ้ง,Morning glory+garlic+soy sauce,main dish,Various,Various
Phat Prik Khing,ผัดพริกขิง,Herbs+meat+spices,main dish,Various,Various
Phat Sam Muen,ผัดสามเหม็น,Herbs+meat+garlic,main dish,Various,Various
Pla,พล่า,Herbs+meat+spices,main dish,Various,Various
Panaeng,พะแนง,Panaeng curry paste+coconut milk+meat,main dish,Various,Various
Pa Lo,พะโล้,Chinese five-spice+meat+soy sauce,main dish,Various,Various
Yam Kai Yang Tao,ยำไก่อย่างเต่า,Unknown,main dish,Unknown,Unknown
Yam Kai Dao,ยำไข่ดาว,Fried eggs+fish sauce+herbs,main dish,Various,Various
Yam Sanat,ยำสะนัด,Unknown,main dish,Unknown,Unknown
La We Kadam,ละแวกะดาม,Unknown,main dish,Unknown,Unknown
Leng Saep,เล้งแซ่บ,Pork spine+herbs+spices,main dish,Various,Various
Sap Yaek,สัพแหยก,Unknown,main dish,Unknown,Unknown
Mok,หมก,Unknown,main dish,Unknown,Unknown
Lon,หลน,Unknown,main dish,Unknown,Unknown
Moo Cha Muang,หมูชะมวง,Pork+Garcinia cowa+herbs,main dish,Various,Various
Moo Wan,หมูหวาน,Sweetened pork+soy sauce,main dish,Various,Various
Moo Hong,หมูฮ้อง,Stewed pork belly+herbs+spices,main dish,Southern provinces,South
Om,อ่อม,Herbs+meat+vegetables,main dish,Various,Various
Oo,อู๋,Unknown,main dish,Unknown,Unknown
Aeb,แอ็บ,Unknown,main dish,Unknown,Unknown
Gruay Thip,กรวยทิพย์,Unknown,snack,Unknown,Unknown
Krob Kem,กรอบเค็ม,Rice flour+fish sauce+herbs,snack,Bangkok,Central
Kratong Thong,กระทงทอง,Rice flour+fish+vegetables,snack,Unknown,Unknown
Krabong,กระบอง,Unknown,snack,Unknown,Unknown
Kuay Teow Lord,ก๋วยเตี๋ยวหลอด,Rice noodles+soy sauce+herbs,main dish,Bangkok,Central
Kari Puff,กะหรี่ปั๊บ,Flour+curry powder+potato,snack,Bangkok,Central
Karawek Sod Si,การเวกสอดสี,Unknown,snack,Unknown,Unknown
Kung Ten,กุ้งเต้น,Unknown,snack,Unknown,Unknown
Ko Kae,โก๋แก่,Unknown,snack,Unknown,Unknown
Kai Sam Yang,ไก่สามอย่าง,Unknown,main dish,Unknown,Unknown
Kanom Kui Chai,ขนมกุยช่าย,Flour+chives+soy sauce,snack,Various,Various
Kanom Kheng,ขนมเข่ง,Glutinous rice flour+sugar,dessert,Various,Various
Kanom Jeeb,ขนมจีบ,Flour+pork+herbs,snack,Bangkok,Central
Kanom Tokyo,ขนมโตเกียว,Flour+custard+sugar,dessert,Bangkok,Central
Kanom Pang Ka Kai,ขนมปังขาไก่,Flour+sugar+butter,snack,Bangkok,Central
Kanom Pang Na Moo,ขนมปังหน้าหมู,Pork+flour+herbs,snack,Bangkok,Central
Kanom Pak Kad,ขนมผักกาด,Rice flour+vegetables+soy sauce,snack,Bangkok,Central
Kanom Puang Pratad,ขนมพวงประทัด,Unknown,snack,Unknown,Unknown
Khao Kriap Kung,ข้าวเกรียบกุ้ง,Shrimp paste+flour+herbs,snack,Bangkok,Central
Khao Kriap Pak Mo,ข้าวเกรียบปากหม้อ,Rice flour+pork+herbs,snack,Various,Various
Khao Kriap Ya Na,ข้าวเกรียบยาหน้า,Rice flour+vegetables+herbs,snack,Various,Various
Khao Tom Bai Kapho,ข้าวต้มใบกะพ้อ,Glutinous rice+banana+coconut milk,dessert,Various,Various
Khao Tom Mat,ข้าวต้มมัด,Glutinous rice+banana+coconut milk,dessert,Various,Various
Khao Tang Na Tang,ข้าวตังหน้าตั้ง,Rice crackers+coconut milk+pork,snack,Various,Various
Khao Pan,ข้าวพัน,Unknown,snack,Unknown,Unknown
Khao Mao,ข้าวเม่า,Glutinous rice+banana+coconut milk,dessert,Various,Various
Khao Ho Tod,ข้าวห่อทอด,Unknown,snack,Unknown,Unknown
Khao Niao Ping,ข้าวเหนียวปิ้ง,Glutinous rice+coconut milk,snack,Various,Various
Kai Kwam,ไข่คว่ำ,Eggs+herbs+spices,main dish,Various,Various
Khrong Khrang Krop,ครองแครงกรอบ,Rice flour+sugar+herbs,snack,Various,Various
Khang Khao Pueak,ค้างคาวเผือก,Taro+flour+sugar,snack,Various,Various
Kaep Moo,แคบหมู,Pork skin+salt+spices,snack,Northern provinces,North
Cho Muang,ช่อม่วง,Unknown,snack,Unknown,Unknown
Chun Pia,ชุนเปี๊ยะ,Unknown,snack,Unknown,Unknown
Salapao,ซาลาเปา,Flour+pork+sugar,snack,Various,Various
Soup Asa Ren,ซุปอาสาเรน,Herbs+vegetables+egg,soup,Bangkok,Central
Dok Kung,ดอกกุ้ง,Unknown,snack,Unknown,Unknown
Dok Kai,ดอกไข่,Unknown,snack,Unknown,Unknown
Thung Thong,ถุงทอง,Flour+pork+vegetables,snack,Bangkok,Central
Nam Nang,น้ำหนัง,Unknown,snack,Unknown,Unknown
Pla Nam,ปลาแนม,Unknown,snack,Unknown,Unknown
Pla Haeng Tang Mo,ปลาแห้งแตงโม,Unknown,snack,Unknown,Unknown
Pan Sip,ปั้นสิบ,Unknown,snack,Unknown,Unknown
Pa Thong Ko,ปาท่องโก๋,Flour+sugar+oil,snack,Various,Various
Poh Pia,เปาะเปี๊ยะ,Flour+pork+vegetables,snack,Various,Various
Mata Ba,มะตะบะ,Flour+egg+vegetables,snack,Southern provinces,South
Ma Uan,ม้าอ้วน,Unknown,snack,Unknown,Unknown
Ma Ho,ม้าฮ่อ,Flour+sugar+pineapple,snack,Various,Various
Miang Kham,เมี่ยงคำ,Herbs+coconut+shrimp,snack,Various,Various
La Tiang,ล่าเตียง,Unknown,snack,Unknown,Unknown
Roti,โรตี,Flour+sugar+oil,snack,Various,Various
Loba,โลบะ,Pork+herbs+spices,main dish,Southern provinces,South
Vihok Long Rang,วิหคหลงรัง,Unknown,snack,Unknown,Unknown
Som Choon Yam,ส้มฉุน (ยำ),Herbs+fruit+fish sauce,salad,Various,Various
Srong,สร่ง,Unknown,snack,Unknown,Unknown
Sate,สะเต๊ะ,Meat+spices+peanut sauce,snack,Southern provinces,South
Saku,สาคู,Unknown,snack,Unknown,Unknown
Moo Takro,หมูตะกร้อ,Unknown,snack,Unknown,Unknown
Moo Ping,หมูปิ้ง,Pork+soy sauce+herbs,snack,Various,Various
Rum,หรุ่ม,Unknown,snack,Unknown,Unknown
Hoi Tak,หอยตาก,Unknown,snack,Unknown,Unknown
Hoi Siab Jim Malakor,หอยเสียบจิ้มมะละกอ,Unknown,snack,Unknown,Unknown
A Pong,อาโป้ง,Unknown,snack,Unknown,Unknown
Otao,โอต้าว,Unknown,snack,Unknown,Unknown
Hoi Jo,ฮ่อยจ๊อ,Crab+flour+herbs,snack,Southern provinces,South
Ha Kun,แฮ่กึ๊น,Unknown,snack,Unknown,Unknown
Kraya Sadt,กระยาสารท,Rice+peanuts+sugar,dessert,Various,Various
Kluay Kaek,กล้วยแขก,Flour+banana+sugar,snack,Various,Various
Kluay Buat Chi,กล้วยบวชชี,Banana+coconut milk+sugar,dessert,Various,Various
Klub Lamduan,กลีบลำดวน,Rice flour+sugar+coconut milk,dessert,Various,Various
Kalamae,กะละแม,Glutinous rice flour+coconut milk+sugar,dessert,Various,Various
Kaeng Buat,แกงบวด,Herbs+coconut milk+sugar,dessert,Various,Various
Kanom Gong,ขนมกง,Rice flour+sugar,dessert,Various,Various
Kanom Grok,ขนมกรอก,Coconut+flour+sugar,snack,Various,Various
Kanom Ko,ขนมก้อ,Rice flour+coconut+sugar,dessert,Various,Various
Kanom Kusarang,ขนมกุสรัง,Rice flour+herbs+coconut milk,dessert,Various,Various
Kanom Geson Lam Chiek,ขนมเกสรลำเจียก,Unknown,dessert,Unknown,Unknown
Kanom Kae Aam,ขนมแก้อาม,Unknown,dessert,Unknown,Unknown
Kanom Kee Nu,ขนมขี้หนู,Flour+sugar+coconut milk,snack,Various,Various
Kanom Kheaw,ขนมเขียว,Pandan+coconut milk+sugar,snack,Various,Various
Kanom Khai,ขนมไข่,Eggs+flour+sugar,snack,Various,Various
Kanom Khai Nok Krata,ขนมไข่นกกระทา,Pandan+flour+sugar,snack,Various,Various
Kanom Khai Hong,ขนมไข่หงส์,Glutinous rice flour+sugar+coconut milk,snack,Various,Various
Kanom Krok,ขนมครก,Rice flour+coconut milk+sugar,snack,Various,Various
Kanom Kui Ling,ขนมควยลิง,Rice flour+coconut+sugar,snack,Various,Various
Kanom Chak,ขนมจาก,Rice flour+sugar+coconut,snack,Various,Various
Kanom Jor Hu,ขนมเจาะหู,Unknown,dessert,Unknown,Unknown
Kanom Chamod,ขนมชะมด,Unknown,dessert,Unknown,Unknown
Kanom Chan,ขนมชั้น,Rice flour+coconut milk+sugar,dessert,Various,Various
Kanom Chang Ma,ขนมแชงม้า,Unknown,dessert,Unknown,Unknown
Kanom Tom,ขนมต้ม,Glutinous rice flour+coconut+sugar,dessert,Various,Various
Kanom Tan,ขนมตาล,Palm sugar+flour+coconut milk,dessert,Various,Various
Kanom Thuai,ขนมถ้วย,Rice flour+coconut milk+sugar,dessert,Various,Various
Kanom Thuai Fu,ขนมถ้วยฟู,Rice flour+yeast+coconut milk,dessert,Various,Various
Kanom Thang Taek,ขนมถังแตก,Rice flour+coconut milk+sugar,snack,Various,Various
Kanom Tua Paeb,ขนมถั่วแปบ,Rice flour+herbs+sugar,snack,Various,Various
Kanom Thien,ขนมเทียน,Glutinous rice flour+coconut milk+sugar,dessert,Various,Various
Kanom Nam Dok Mai,ขนมน้ำดอกไม้,Unknown,dessert,Unknown,Unknown
Kanom Nian,ขนมเนียล,Unknown,dessert,Unknown,Unknown
Kanom Ba Bin,ขนมบ้าบิ่น,Flour+coconut+sugar,snack,Various,Various
Kanom Beung,ขนมเบื้อง,Rice flour+sugar+coconut milk,snack,Various,Various
Kanom Pia,ขนมเปี๊ยะ,Flour+green beans+sugar,snack,Various,Various
Kanom Ping,ขนมผิง,Flour+coconut milk+sugar,snack,Various,Various
Kanom Farang Kudi Chin,ขนมฝรั่งกุฎีจีน,Flour+sugar+fruit,dessert,Various,Various
Kanom Piak Pun,ขนมเปียกปูน,Rice flour+sugar+coconut milk,dessert,Various,Various
Kanom Man Sampalang,ขนมมันสำปะหลัง,Cassava+flour+sugar,dessert,Various,Various
Kanom Muang Phet,ขนมเมืองเพชร,Unknown,dessert,Unknown,Unknown
Kanom La,ขนมลา,Unknown,dessert,Unknown,Unknown
Kanom Luem Gluen,ขนมลืมกลืน,Rice flour+sugar+coconut milk,dessert,Various,Various
Kanom Luk Gawad,ขนมลูกกวาด,Unknown,dessert,Unknown,Unknown
Kanom Wong,ขนมวง,Rice flour+sugar+coconut milk,snack,Various,Various
Kanom Mor Kaeng,ขนมหม้อแกง,Flour+coconut+sugar,dessert,Various,Various
Kanom Hua Lan,ขนมหัวล้าน,Unknown,dessert,Unknown,Unknown
Khao Jee,ข้าวจี่,Glutinous rice+egg+sugar,snack,Various,Various
Khao Daek Nga,ข้าวแดกงา,Rice flour+sesame+sugar,snack,Various,Various
Khao Tom Nam Woon,ข้าวต้มน้ำวุ้น,Glutinous rice+coconut milk+sugar,dessert,Various,Various
Khao Tu,ข้าวตู,Rice flour+sugar+coconut milk,snack,Various,Various
Khao Pong,ข้าวโป่ง,Rice flour+sugar+coconut milk,snack,Various,Various
Khao Mao,ข้าวเม่า,Unknown,dessert,Unknown,Unknown
Khao Ya Khu,ข้าวยาคู,Unknown,dessert,Unknown,Unknown
Khao Lam,ข้าวหลาม,Glutinous rice+coconut milk+sugar,dessert,Various,Various
Khao Niao Mamuang,ข้าวเหนียวมะม่วง,Glutinous rice+ripe mango+coconut milk,dessert,Various,Various
Khanom,ฆานม,Unknown,dessert,Unknown,Unknown
Ja Mongkut,จ่ามงกุฎ,Unknown,dessert,Unknown,Unknown
Chao Kuai,เฉาก๊วย,Grass jelly+herbs+sugar,dessert,Various,Various
Sa Rim,ซ่าหริ่ม,Flour+coconut milk+sugar,dessert,Various,Various
Dara Thong,ดาราทอง,Unknown,dessert,Unknown,Unknown
Tu Bo,ตูโบ้,Unknown,dessert,Unknown,Unknown
Tau Huai,เต้าฮวย,Soy milk+herbs+sugar,dessert,Various,Various
Thu Kiao Tom Nam Tan,ถั่วเขียวต้มน้ำตาล,Mung beans+sugar+coconut milk,dessert,Various,Various
Thong Muon,ทองม้วน,Rice flour+coconut milk+sugar,snack,Various,Various
Thong Yod,ทองหยอด,Flour+sugar+egg yolk,dessert,Various,Various
Thong Yip,ทองหยิบ,Flour+sugar+egg yolk,dessert,Various,Various
Thong Ek,ทองเอก,Flour+sugar+egg yolk,dessert,Various,Various
Tub Tim Grob,ทับทิมกรอบ,Chestnuts+flour+coconut milk,dessert,Various,Various
Nam Khaeng Sai,น้ำแข็งไส,Ice+flavored syrup+fruit,dessert,Various,Various
Phi Tai Wak,ผีตายหวาก,Unknown,dessert,Unknown,Unknown
Foi Thong,ฝอยทอง,Flour+sugar+egg yolk,dessert,Various,Various
Fak Khiao Kwan,ฟักเขียวกวน,Wax gourd+sugar+coconut milk,dessert,Various,Various
Mamoung Kwan,มะม่วงกวน,Unknown,dessert,Unknown,Unknown
Maskot,มัศกอด,Unknown,dessert,Unknown,Unknown
Med Kanoon,เม็ดขนุน,Green beans+sugar+egg yolk,dessert,Various,Various
Rai Rai,เรไร,Unknown,dessert,Unknown,Unknown
Roti,โรตี,Flour+oil+sugar,snack,Various,Various
Roti Sai Mai,โรตีสายไหม,Flour+sugar+cotton candy,snack,Various,Various
Lot Chong,ลอดช่อง,Flour+pandan+coconut milk,dessert,Various,Various
Luk Chup,ลูกชุบ,Mung beans+coconut milk+sugar,dessert,Various,Various
Som Chun,ส้มฉุน,Herbs+fruit+fish sauce,salad,Various,Various
Sankhaya Kuan,สังขยา (กวน),Flour+coconut milk+egg,dessert,Various,Various
Sankhaya Nueng,สังขยา (นึ่ง),Flour+coconut milk+egg,dessert,Various,Various
Ang Ku,อังกู๊,Unknown,dessert,Unknown,Unknown
A Kao,อาเกาะ,Unknown,dessert,Unknown,Unknown
